Time (s),X Position,Y Position,Z Position,Travel Distance,Lidar Points,CPU Usage (%),Memory Usage (MB)
26.87,-2.9632841401607853e-13,6.55300881069163e-27,0.0,0.0,-,-,-
26.91,-2.971398268858062e-13,6.593851563888611e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
26.95,-2.9794733053516144e-13,6.63467088676028e-27,0.0,0.0,-,-,-
27.0,-2.9875092298206775e-13,6.675464954853067e-27,0.0,0.0,-,-,-
27.04,-2.995507907538687e-13,6.71624151100573e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
27.08,-3.0034702917828166e-13,6.75700387981799e-27,0.0,0.0,-,-,-
27.12,-3.0113915516640126e-13,6.797725577352869e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
27.16,-3.019275426714828e-13,6.838424176853792e-27,0.0,0.0,-,-,-
27.2,-3.027123033905217e-13,6.879103681225761e-27,0.0,0.0,-,-,-
27.25,-3.034930057533277e-13,6.919740390086071e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
27.28,-3.042699902102212e-13,6.960350342779375e-27,0.0,0.0,-,-,-
27.32,-3.0504291424222397e-13,7.000913962577802e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
27.36,-3.05811999740872e-13,7.041441071909525e-27,0.0,0.0,-,-,-
27.4,-3.0657718032392337e-13,7.081926599966634e-27,0.0,0.0,-,-,-
27.45,-3.073387708124758e-13,7.12238542935297e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
27.48,-3.0809646523701306e-13,7.162799673642001e-27,0.0,0.0,-,-,-
27.53,-3.0885035378000496e-13,7.203172455077077e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
27.57,-3.0960062030366917e-13,7.243512206741547e-27,0.0,0.0,-,-,-
27.61,-3.103469229094333e-13,7.283799010796333e-27,0.0,0.0,-,-,-
27.65,-3.1108941779185364e-13,7.324039579562255e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
27.69,-3.1182793467005394e-13,7.364222782014596e-27,0.0,0.0,-,-,-
27.73,-3.1256261713267755e-13,7.404354941887274e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
27.77,-3.1329371117955246e-13,7.444447870204233e-27,0.0,0.0,-,-,-
27.81,-3.140208433712452e-13,7.484479516754606e-27,0.0,0.0,-,-,-
27.85,-3.147441391191187e-13,7.524455055389381e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
27.89,-3.1546348036271545e-13,7.56436650614625e-27,0.0,0.0,-,-,-
27.94,-3.1617915934582814e-13,7.604228290986135e-27,0.0,0.0,-,-,-
-,-,-,-,-,720,-,-
27.97,-3.1689099238882517e-13,7.644028770847268e-27,0.0,0.0,-,-,-
28.02,-3.175990477872815e-13,7.68376992901779e-27,0.0,0.0,-,-,-
